Fund_Name,CIK,Series_CIK
BlackRock Natural Resources Trust,0000933691,S000002176
BlackRock Sustainable Emerging Markets Equity Fund,0000202741,S000069108
Mairs & Power Balanced Fund,,
Morgan Stanley Instl. Fund-Global Strategist Portfolio,,
AMG Montrusco Bolton Large Cap Growth Fund,0000912036,S000001114
MFS Value Fund,0001065698,S000009944
MFS Emerging Markets Equity Fund,0000783740,S000050655
American Century International Value Fund,0000872825,S000066455
Meridian Growth Fund,0000745467,S000001462
Merger Fund (The),0001208133,S000005158
Marsico Focus Fund,0001047112,S000007710
MFS Global Total Return Fund,0000863032,S000002469
Morgan Stanley Instl. Fund - Emerging Markets Portfolio,,
MFS International Intrinsic Value Fund,0000783740,S000002517
DWS Global Macro Fund,0000088053,S000031160
MFS International Growth Fund,0000783740,S000015970
Marsico Growth Fund,0001047112,S000010798
AMG Veritas Asia Pacific Fund,0000720309,S000009865
Midas Fund,0000770200,S000038965
MassMutual Premier International Equity Fund,0000927972,S000003781
MFS Massachusetts Investors Growth Stock Fund,,
Midas Magic Fund,0000788422,S000038965
Columbia Integrated Large Cap Growth Fund,0001352280,S000074120
Victory Integrity Discovery Fund,0000802716,S000046401
MFS Utilities Fund,0000863032,S000002470
MFS New Discovery Fund,0000356349,S000000765
Victory Integrity Small Cap Value Fund,0000802716,S000046393
Mairs & Power Growth Fund,,
Matthews Pacific Tiger Fund,0000923184,S000040800
MFS Core Equity Fund,0000911637,S000000763
MFS Research International Fund,0000867969,S000000766
iMGP Global Select Fund,0001020425,S000005593
Morgan Stanley Instl. Fund Tr. - Inception Portfolio,,
Morgan Stanley Instl. Fund-Growth Portfolio,,
MFS Total Return Fund,0001065698,S000002497
Morgan Stanley Instl. Fund-International Equity Portfolio,,
MainStay WMC Enduring Capital Fund,,
NYLI WMC Value Fund,0000787441,S000006906
MFS Blended Research Core Equity Fund,0000911637,S000002500
Muhlenkamp Fund,0000829433,S000046566
Nationwide Mellon Dynamic US Core Fund,,
Victory S&P 500 Index Fund,,
Meridian Contrarian Fund,0000745467,S000001463
MFS Global Growth Fund,0000819673,S000002490
Federated Hermes Max Cap Index Fund,0000861469,S000009097
Vanguard Small Cap Index Fund,0000857489,S000030018
New Alternatives Fund,0000355767,S000004915
Voya Global High Dividend Low Volatility Fund,0000895430,S000008527
Neuberger Berman Genesis Fund,0000044402,S000007841
Neuberger Berman Small Cap Growth Fund,0000044402,S000013239
Neuberger Berman Sustainable Equity Fund,0000044402,S000007847
Neuberger Berman Focus Fund,0000044402,S000007848
Nicholas Limited Edition Inc.,,
Nicholas II Inc.,0000723455,S000009134
Needham Growth Fund,0001002537,S000003815
Vaughan Nelson Small Cap Value Fund,0000770540,S000006661
Natixis Fds. Tr. II - Oakmark Fund,,
Natixis US Equity Opportunities Fund,,
Columbia Greater China Fund,0000315665,S000012069
Neuberger Berman Large Cap Growth Fund,0000044402,S000007838
Nicholas Fund,0000811030,S000064409
Voya Multi Manager International Small Cap Fund,0000895430,S000008531
Voya Large-Cap Growth Fund,0000877233,S000008383
Neuberger Berman Mid Cap Growth Fund,0000044402,S000007850
Columbia Large Cap Enhanced Core Fund,0001097519,S000010818
Northern Income Equity Fund,0001518042,S000001269
Northern International Equity Fund,0000916620,S000012492
Northern Stock Index Fund,0000916620,S000001247
Neuberger Berman Large Cap Value Fund,0000044402,S000007840
abrdn U.S. Small Cap Equity Fund,0001413594,S000020312
Nicholas Equity Income Fund,0000913131,S000009137
Allspring Disciplined Small Cap Fund,0001081400,S000007342
Nationwide Fund,0001048702,S000020093
Davis New York Venture Fund,0000071701,S000003439
Oakmark Equity & Income Fund,,
Oakmark International Small Cap Fund,0000872323,S000002763
Oakmark International Fund,0000770540,S000002762
Oakmark Select Fund,0000872323,S000013607
Oakmark Fund,0000052136,S000068760
Olstein All Cap Value Fund,0000944690,S000061858
JPMorgan Equity Index Fund,0000763852,S000003847
JPMorgan Equity Income Fund,0001659326,S000042887
Saratoga Adv. Trust - Technology & Communications Portfolio,,
JPMorgan Large Cap Growth Fund,0000763852,S000002603
JPMorgan Large Cap Value Fund,0000763852,S000019637
Saratoga Adv. Trust - Energy & Basic Materials Portfolio,,
JPMorgan Mid Cap Growth Fund,0000763852,S000003654
Osterweis Fund,0000811030,S000004931
T Rowe Price Small Cap Stock Fund,0000075170,S000002094
Prudential Investment Port. Inc. - PGIM Balanced Fund,,
Permanent Portfolio Family of Funds - Aggressive Growth Port.,,
Parnassus Mid Cap Growth Fund,0000747546,S000000852
Payson Total Return Fund,0000315774,S000004544
PGIM Jennison Blend Fund,0000711175,S000004514
PACE International Emerging Markets Equity Investments,0000930007,S000002976
Victory Pioneer Mid Cap Value Fund,0002042316,S000089757
PACE International Equity Investments,0000930007,S000002976
PACE Large Co. Growth Equity Investments,0000930007,S000002972
PACE Large Co. Value Equity Investments,0000930007,S000002971
PACE Small/Medium Co. Growth Equity Investments,,
PACE Small/Medium Co. Value Equity Investments,,
Virtus NFJ Small-Cap Value Fund,0001423227,S000007966
PGIM Income Builder Fund,0001067442,S000004703
Virtus KAR Equity Income Fund,0000034273,S000021177
JPMorgan SMID Cap Equity Fund,0000763852,S000003855
Royce Pennsylvania Mutual Fund,,
Victory Pioneer Equity Income Fund,0002042316,S000089763
"BNY Mellon Mid Cap Index Fund, Inc.",,
Putnam Large Cap Value Fund,0000822671,S000005581
PGIM Jennison Small Company Fund,0000318531,S000004629
JPMorgan Small Cap Growth Fund,0000763852,S000002907
Virtus Silvant Focused Growth Fund,0000867297,S000007971
Pioneer Disciplined Growth Fund,0002042316,S000010123
Victory Pioneer Fund,0002042317,S000089774
Putnam International Capital Opportunities Fund,0000932101,S000023137
Putnam Large Cap Growth Fund,0000822671,S000003848
